边 : 字 0.0515842404875 | 亲 0.055637030726 | 景 0.0575127583749 | 藏 0.0644112399972 | 边 0.0670720854676 | 判 0.0725851002573 | 苏 0.0743319970543 | 类 0.083212326147 | 树 0.0836415024504 | 绍 0.0860969135025 | 责 0.0913204381213 | 房 0.0929445356894 | 止 0.0965946518374 | 号 0.0966205213141 | 河 0.0972956113869 | 客 0.100862778948 | 写 0.10341207245 | 富 0.104807801633 | 菜 0.1126050172 | 约 0.11773830607 | 油 0.119073481935 | 售 0.122507067308 | 谈 0.123112576746 | 星 0.123387996256 | 索 0.124932057801 | 票 0.130813333366 | 则 0.133311601222 | 密 0.136725437529 | 试 0.141150033163 | 图 0.142049105932 | 血 0.144696162959 | 洋 0.145617971408 | 幕 0.14614137784 | 湾 0.148654214363 | 师 0.149547177237 | 语 0.150047057961 | 型 0.152005289201 | 障 0.152070008605 | 税 0.156380433255 | 城 0.156533978373 | 土 0.156636304059 | 疗 0.158873260606 | 留 0.163524342151 | 功 0.165767977113 | 彩 0.167497898439 | 迹 0.169977057864 | 身 0.176833111934 | 卖 0.178050357426 | 空 0.178501559541 | 获 0.180164097807 | 

部 : 方 0.1461932857 | 时 0.149927444397 | 成 0.150352409401 | 部 0.184445524758 | 高 0.191949439956 | 面 0.193326568548 | 出 0.209389790774 | 事 0.209511731706 | 通 0.246782441908 | 过 0.255136186822 | 现 0.256448634336 | 文 0.258823157568 | 科 0.315840806348 | 活 0.348122478329 | 民 0.363821969294 | 就 0.379938470309 | 市 0.39079422494 | 技 0.39574080038 | 入 0.423071856244 | 家 0.42832120813 | 程 0.440343791824 | 商 0.466578296056 | 农 0.472833089866 | 社 0.473369066947 | 赛 0.489948643804 | 学 0.498250790378 | 等 0.498656064773 | 任 0.511544072706 | 前 0.512075679256 | 军 0.521928668897 | 村 0.544835617374 | 利 0.548278960754 | 务 0.553092285327 | 门 0.56273420419 | 要 0.609396760095 | 议 0.612178529757 | 委 0.623375504388 | 将 0.627491168728 | 调 0.642430808576 | 身 0.651640401594 | 点 0.664765829312 | 开 0.66862250648 | 大 0.670640193261 | 城 0.698099271874 | 已 0.703476525072 | 物 0.703640065736 | 参 0.70678288291 | 安 0.716615171487 | 目 0.718233252285 | 取 0.741768045268 | 

悒 : 谪 0.0267438128856 | 虱 0.02677441 | 镳 0.0268408505964 | 抿 0.0269020541637 | 暌 0.0269567176111 | 焖 0.0269641553029 | 铳 0.0269842473736 | 嗲 0.0269851830753 | 璎 0.0270077654045 | 霈 0.0270277960405 | 蝠 0.027030006196 | 龉 0.027036831991 | 敕 0.0270944420514 | 缛 0.0271352129834 | 旌 0.0271445135818 | 蹩 0.0271804438955 | 诒 0.0271984137572 | 蜃 0.0272720003279 | 滢 0.0273142282955 | 砷 0.0273335347042 | 屐 0.0273728216629 | 艮 0.0273890355966 | 嗤 0.0273935677532 | 蚤 0.0274217788747 | 塍 0.0274240745382 | 龊 0.0274368325955 | 馗 0.0274805309821 | 恽 0.0274983517252 | 蕨 0.0275032426682 | 琰 0.0275293891678 | 榛 0.0275755470283 | 骰 0.027601090458 | 幺 0.0276015598736 | 喑 0.0276459518157 | 枥 0.0276496598352 | 鏊 0.0276621919628 | 樨 0.0276662182944 | 鄯 0.0276894558875 | 舢 0.0277061751893 | 颌 0.0277107716276 | 旮 0.0277381278693 | 鹳 0.0277674341252 | 酊 0.0277703368685 | 溆 0.0278296815392 | 腱 0.0278745082351 | 瓤 0.0278885430972 | 吡 0.0279075455599 | 钕 0.0279258181216 | 渌 0.0279283915261 | 碚 0.027940319454 | 

对 : 出 0.432388803181 | 时 0.572305763681 | 大 0.6137985243 | 文 0.621680832198 | 部 0.628002386809 | 高 0.671580268965 | 成 0.676079755256 | 家 0.725577063948 | 事 0.735324562244 | 民 0.73827632313 | 门 0.76017596561 | 方 0.764428845934 | 利 0.794831929828 | 等 0.836609557743 | 教 0.851603089206 | 过 0.863231056014 | 开 0.868966985474 | 面 0.889262751442 | 市 0.929745539934 | 学 0.945647918507 | 活 0.968026691079 | 通 0.97712293198 | 对 0.979256232601 | 以 0.985615671953 | 科 0.987090600994 | 任 1.08099124788 | 军 1.10668563669 | 现 1.10871814853 | 入 1.10912470362 | 安 1.11397458495 | 就 1.14897702129 | 技 1.15064822937 | 之 1.16249390541 | 前 1.16710233366 | 要 1.17256751182 | 商 1.18161639636 | 调 1.19575629964 | 社 1.20538942935 | 将 1.23761101567 | 农 1.26130107139 | 战 1.27016556395 | 程 1.27316203588 | 已 1.28367454056 | 认 1.31940668728 | 委 1.32713319668 | 于 1.32775080644 | 相 1.32826162384 | 赛 1.37624172324 | 华 1.37858696662 | 路 1.38382348261 | 

成 : 现 0.151347808535 | 成 0.15305387022 | 方 0.188945919001 | 就 0.232731122465 | 要 0.249127296214 | 时 0.265269467227 | 面 0.332697739296 | 事 0.342199927783 | 部 0.37347539448 | 高 0.390329098476 | 过 0.411594085385 | 家 0.414119758541 | 务 0.44412622689 | 市 0.463304945201 | 程 0.480254127487 | 通 0.493993719414 | 出 0.542061324025 | 科 0.54935915006 | 技 0.570471878182 | 议 0.586168376109 | 目 0.600637492846 | 活 0.602206156703 | 点 0.641781109788 | 文 0.650391391359 | 前 0.655128867712 | 社 0.65602870041 | 农 0.658434624027 | 入 0.665853917306 | 学 0.681972761469 | 赛 0.688510516598 | 将 0.691041891021 | 民 0.709493490122 | 以 0.731454961471 | 村 0.73844066639 | 求 0.764674984762 | 等 0.786180889586 | 商 0.795433595442 | 对 0.797934468471 | 取 0.805213255538 | 持 0.814286007135 | 大 0.828404865621 | 任 0.841066326034 | 开 0.848771445063 | 已 0.858899291162 | 各 0.896781019625 | 东 0.906051682306 | 城 0.928617593499 | 军 0.942884520407 | 参 0.969422241716 | 委 0.978720032925 | 

⑥ : 嗤 0.0149730072627 | 砷 0.0149864502819 | 蜃 0.0150526318975 | 虱 0.0150906971469 | 镳 0.0151182487383 | 滢 0.0151193617997 | 璎 0.0151281932386 | 蕨 0.0151547932749 | 旌 0.0151688367894 | 馗 0.0151870042468 | 溆 0.0152338590418 | 敕 0.0153048191057 | 艮 0.0153488057465 | 暌 0.0153495821774 | 嗨 0.015376962623 | 琰 0.0153866205131 | 芡 0.0153953651212 | 抿 0.0154512937778 | 钕 0.0154657313637 | 幺 0.015478669881 | 龉 0.0155298397159 | 夼 0.0155320452232 | 锃 0.0155517718912 | 噎 0.0155559504145 | 绂 0.0155583162032 | 吡 0.0155627008091 | 霈 0.0155766114799 | 嗲 0.0156639375113 | 萸 0.015686010447 | 缛 0.0156999077124 | 榛 0.0157167815351 | 羟 0.0157507757125 | 猬 0.0157613509752 | 焖 0.0158260822423 | 屐 0.0158421425383 | 谪 0.0158706629797 | 晌 0.0158754250358 | 铳 0.0158906200977 | 蝠 0.0159249917707 | 蹩 0.0159318918543 | 魇 0.0159485619602 | 龊 0.0159491981264 | 滓 0.0160172888246 | 裟 0.0160267129704 | 诒 0.0160716512489 | 喑 0.0160949533551 | 塍 0.0161206760746 | 渌 0.0161328148573 | 酪 0.0161468829713 | 酰 0.0161588175338 | 

胺 : 槌 0.064491378347 | 羹 0.0647469092051 | 箫 0.0647542232036 | 锨 0.0650933595287 | 钠 0.0652010956277 | 懵 0.0652221929135 | 箴 0.0653020709985 | 簌 0.0654712906639 | 糯 0.0655906415927 | 釜 0.0656720383218 | 陛 0.0656868797883 | 阙 0.0656922455765 | 薹 0.0657116396702 | 黝 0.0657374274454 | 胥 0.0657412398817 | 攥 0.0658625445482 | 濮 0.0660254750887 | 糠 0.0660369529128 | 睬 0.0661750976985 | 鳖 0.0663127201315 | 嶙 0.0663918820112 | 撮 0.0665717395061 | 娑 0.0666076846218 | 孢 0.0666646657479 | 簧 0.0666975483584 | 愕 0.0667622798471 | 玷 0.066828324027 | 狡 0.0670924908847 | 冢 0.0672194929971 | 呻 0.0672275191938 | 铧 0.0672439986815 | 撇 0.0673169286428 | 粕 0.067598939273 | 宓 0.0676749880751 | 潼 0.0677565033401 | 掰 0.0679818839302 | 偕 0.0681696121466 | 掖 0.068270456429 | 裘 0.0684397512726 | 疹 0.0685307312904 | 翌 0.0685356501413 | 熹 0.0685724847072 | 笙 0.0686053327761 | 屉 0.0686833658542 | 佟 0.0686847962506 | 葩 0.068709973527 | 妖 0.0687505759637 | 鹜 0.0694520640297 | 叽 0.0694958207089 | 丐 0.0697926213923 | 

苄 : 镳 0.020253040185 | 璎 0.020442576609 | 暌 0.0204591748076 | 蜃 0.0204648683145 | 虱 0.0205573458589 | 馗 0.0205746569961 | 琰 0.0206062029674 | 砷 0.0206487581638 | 嗤 0.0206531169511 | 霈 0.0206617452963 | 溆 0.0206631671363 | 龉 0.0207154278784 | 蹩 0.0207441575807 | 滢 0.020839833983 | 旌 0.0208482579608 | 抿 0.0208517581435 | 缛 0.0208840565928 | 谪 0.0208908595308 | 萸 0.0208951704032 | 焖 0.0209011721731 | 蕨 0.0209155569455 | 蝠 0.0209373354296 | 噎 0.0210207660591 | 喑 0.02104243092 | 钕 0.0210625971325 | 嗲 0.0210707829703 | 羟 0.0210740488448 | 敕 0.0210858513672 | 芡 0.021105490407 | 艮 0.021141006792 | 嗨 0.0211457483199 | 绂 0.0211545632477 | 铳 0.0211653901357 | 瓤 0.0211679838109 | 幺 0.0211703014566 | 夼 0.021183891847 | 屐 0.021188015262 | 酊 0.0212057137109 | 鄯 0.0212743022066 | 魇 0.0212767680028 | 昀 0.0212770774204 | 樨 0.0212913546487 | 鏊 0.0213415351677 | 讣 0.0213818113165 | 龊 0.0213837981769 | 塍 0.0213940640966 | 诒 0.0213970723396 | 滓 0.0214036214284 | 吡 0.0214472296385 | 榛 0.0214849590635 | 

俸 : 谑 0.0561579975898 | 赓 0.0567191400907 | 耆 0.0568880953237 | 圻 0.0570516343844 | 镂 0.0570920424919 | 悯 0.0571228467465 | 犟 0.0571490598846 | 窿 0.0571539604166 | 噜 0.0572825175316 | 珲 0.0574365838662 | 耒 0.0575179563453 | 芥 0.0577986328913 | 啬 0.057831892413 | 畿 0.0578640943369 | 脓 0.0579801027851 | 酉 0.058015323233 | 楣 0.0580336167459 | → 0.0580627864545 | 拗 0.0581404706835 | 琨 0.058180631078 | 桅 0.0582126970459 | 硼 0.0582468602579 | 砾 0.0583156300728 | 狞 0.0584310717027 | 隽 0.0584941470913 | 烬 0.058691492083 | 娼 0.0587264650306 | 酗 0.0587591468038 | 猕 0.0587798378682 | 骧 0.0588324753026 | 銮 0.0591060567788 | 獭 0.0591591142037 | 邕 0.0591840415636 | 疡 0.0592270433896 | 盹 0.0592678743811 | 妩 0.0592801994809 | 婵 0.0593800223017 | 岷 0.0593843106081 | 圪 0.0594205232429 | 戕 0.0594975053662 | 稣 0.0595568903404 | 搐 0.0595731390583 | 坨 0.0596194111378 | 茔 0.059654617578 | 诋 0.0598031259683 | 撵 0.0598352802111 | 浜 0.0598853632016 | 彷 0.0599542400113 | 菩 0.0600188383466 | 褶 0.0600424873312 | 

冢 : 蚤 0.037434619128 | 诒 0.0376631675149 | 铳 0.0377311494047 | 罘 0.037772272953 | 骰 0.0377782804995 | 旮 0.0378305293412 | 枥 0.037884394775 | 蝠 0.0378938460883 | 缛 0.0379105493075 | 抿 0.0379131417101 | 虱 0.0379236847193 | 洵 0.0379367603163 | 蟥 0.037958005465 | 暌 0.0379717351064 | 腱 0.037987350826 | 碚 0.0380093523781 | 谪 0.0380189586579 | 霈 0.0380418075418 | 屐 0.038055682644 | 龉 0.0380643731666 | 昀 0.0381142738208 | 塍 0.0381150793046 | 蚱 0.038152020435 | 耷 0.0381622144008 | 蘖 0.0381688155673 | 讣 0.0381716304481 | 饽 0.0381734438551 | 俚 0.0381842316007 | 樨 0.0381980154091 | 蹇 0.0382171858654 | 衩 0.0382430629868 | 龊 0.0382436704101 | 倭 0.0382765886547 | 瓤 0.0383010456278 | 仝 0.0383029493621 | 臬 0.0383076394735 | 镳 0.0383079984402 | 恽 0.0383263657293 | 饬 0.0383399206078 | 嫡 0.0383481505022 | 颌 0.0383549398199 | 蜃 0.0383697339707 | 儡 0.0383818250507 | 啜 0.0383837667806 | 幔 0.0384216201533 | 攫 0.038434905256 | 鳝 0.0384438727833 | 猗 0.0384668115143 | 焖 0.0384680729678 | 酊 0.0384882811231 | 

孢 : 勰 0.0499903177137 | 珈 0.0501532145017 | 奂 0.0503678448036 | 馏 0.050424363165 | 麾 0.0504421155774 | 憷 0.0504930592965 | 鄄 0.0505396965426 | 嗷 0.0506232541801 | 砟 0.0507126048027 | 垭 0.0507604643287 | 邈 0.050847623313 | 诏 0.0508477773429 | 纰 0.0508926290348 | 苕 0.050892659094 | 祜 0.0509226499354 | 蠕 0.0509276384447 | 湄 0.0509519586897 | 佯 0.0509743164948 | 睢 0.0509919908566 | 缳 0.0509940601209 | 骡 0.0510006455594 | 晟 0.0510449881956 | 靓 0.0510685600117 | 竺 0.0510754444101 | 杲 0.051091996877 | 祢 0.0510990295497 | 筠 0.0511126270961 | 唆 0.0511879987638 | 隍 0.0512003508029 | 鲇 0.0512044199111 | 浣 0.0512303256437 | 腓 0.0512614132217 | 勐 0.0512722921126 | 懑 0.0512934024215 | 碣 0.0513647897771 | 戥 0.0513997503748 | 诘 0.0514138356065 | 磬 0.0514912365379 | 痞 0.0514924003314 | 娲 0.0515097488415 | 蓿 0.0515464642233 | 慵 0.0515548923519 | 蕃 0.0515583737732 | 擘 0.0515666444908 | 噌 0.0515709377317 | 翊 0.0515724097527 | 碓 0.051582368843 | 泔 0.0516278585506 | 嗽 0.051653272915 | 藁 0.0516603324444 | 

舂 : 襁 0.0118576972349 | 箢 0.0119579193982 | 蛔 0.0119595824252 | 氽 0.0120013568291 | 鲱 0.012028455659 | 榉 0.0120285950469 | 牖 0.0120441356213 | 槎 0.0120487758983 | 蝈 0.0120605419471 | 闫 0.0120795566893 | 圮 0.0121123909942 | 叟 0.0121199014886 | 饧 0.0121302945019 | 踅 0.012137352633 | 噘 0.0121616977058 | 澍 0.0121642031199 | 嗥 0.0121735745974 | 庑 0.0121937806165 | 驸 0.0121983096349 | 涑 0.0121998959454 | 绦 0.0122055017096 | 蹉 0.0122099892845 | 挈 0.0122252156672 | 篁 0.0122295145875 | 蚋 0.0122349402043 | 蟑 0.0122591778272 | 筚 0.01226094976 | 罟 0.012281030435 | 诟 0.0122928767266 | 歆 0.0122939764924 | 妁 0.0123023858061 | 芩 0.0123102786848 | 呷 0.0123229108279 | 翕 0.0123264688623 | 笞 0.0123266263316 | 觥 0.0123328997608 | 樯 0.0123401230222 | 胪 0.0123459330327 | 邡 0.0123512571996 | 豢 0.0123681151263 | 佞 0.0123689475707 | 疃 0.0123696495184 | 诌 0.012389037085 | 嫔 0.0123890501173 | 鳜 0.0123974397017 | 诨 0.0123974934964 | 喱 0.0124034116228 | 肓 0.0124323131648 | 楸 0.0124347579449 | 钽 0.0124356139595 | 

Ⅱ : 偎 0.135676839734 | 掖 0.136316680913 | 娣 0.136358739605 | 亘 0.136627765171 | 捺 0.13667997184 | 篝 0.136816032755 | 葩 0.136886775098 | 丐 0.136982875123 | 橘 0.137121182116 | 疹 0.137204678676 | 瑕 0.137225749525 | 吭 0.137290253342 | 羌 0.13734172727 | 熹 0.13743380077 | 笙 0.137587498619 | 掂 0.137753848417 | 潼 0.137791098198 | 黝 0.137808541242 | 遒 0.137891929942 | 钛 0.138002447561 | 嗅 0.138236797835 | 簧 0.138247678399 | 眩 0.139177321701 | 芋 0.139306090728 | 惭 0.139415839295 | 镍 0.13950433863 | 羹 0.139695924047 | 藜 0.139823091592 | 濮 0.139945907323 | 宓 0.140043110102 | 剽 0.140044035707 | 阙 0.140058874689 | 槌 0.140211312186 | 楞 0.140247705673 | 铧 0.140364778886 | 痫 0.14036928595 | 淆 0.140533447005 | 孢 0.140867583066 | 啪 0.140911269144 | 懵 0.141214499113 | 糯 0.14139123221 | 鳖 0.14146233465 | 邬 0.141470993842 | 裘 0.141491451746 | 胥 0.141496495332 | 赝 0.141689110553 | 狡 0.142103824294 | 釜 0.14234938594 | 陛 0.142844538282 | 睬 0.142950739889 | 

猫 : 孕 0.0118841464806 | 虹 0.0150662559242 | 彦 0.0159845321437 | 聪 0.0169263849884 | 卜 0.0174819448308 | 颂 0.0184549879174 | 烦 0.0188429863482 | 仙 0.0194766216273 | 菌 0.0197520228719 | 殿 0.0200500619622 | 冻 0.0200574534482 | 愧 0.0203792352933 | 侦 0.0214678550913 | 洽 0.0215938037256 | 酿 0.0216789175114 | 揽 0.0217601502343 | 谱 0.0222300123987 | 募 0.0231299016634 | 衔 0.0237699420533 | 冈 0.0237847749228 | 坑 0.0239513728966 | 柔 0.0244175117338 | 泊 0.0246646208589 | 爸 0.0247022900249 | 绳 0.0247446155919 | 菊 0.0247564409594 | 茫 0.0259705482657 | 仗 0.0269148512499 | 蕴 0.0272370346178 | 逢 0.0282809188488 | 盼 0.029604662083 | 惨 0.0305286236982 | 帅 0.0305889704702 | 垂 0.0307237761855 | 雾 0.0309249647516 | 稽 0.0323192206778 | 拳 0.0324317739648 | 挣 0.0332890688159 | 淑 0.0333344997036 | 薪 0.0342185204006 | 冶 0.0344098707934 | 嫁 0.0344304160926 | 昭 0.0350915310848 | 梯 0.035415935124 | 纱 0.0356358969473 | 幻 0.0358929200837 | 逆 0.0361247360292 | 勋 0.036211869687 | 劝 0.0365387913826 | 锡 0.0369525734408 | 

熹 : 惭 0.0732748139584 | 遒 0.0735965788423 | 淆 0.0738505278141 | 吭 0.0740761705256 | 臧 0.0743674074657 | 赝 0.0744730332125 | 羌 0.0744732166969 | 屎 0.0745624275963 | 芋 0.0746667156434 | 瑕 0.0747514282193 | 邬 0.0748890716197 | 掂 0.0749119811165 | 芸 0.0752137532921 | 蝗 0.0752646196534 | 亘 0.0753255647023 | 鲥 0.0754018380012 | 陨 0.0754741180306 | 捺 0.075506342079 | 眩 0.075538267035 | 篝 0.0756131924699 | 橘 0.0760311254291 | 痫 0.0762851613646 | 撩 0.0766392501963 | 喋 0.0766967054393 | 厮 0.076707974443 | 偎 0.0769380262875 | 娣 0.0773337327624 | 逍 0.0773893637171 | 蛀 0.0775385201582 | 梵 0.0776465572434 | 钛 0.0777387192712 | 藩 0.0777601705258 | 啪 0.0780204544498 | 怅 0.0780283383776 | 茸 0.0782706515587 | 镍 0.078517771113 | 奚 0.0788294016002 | 藜 0.0791620806303 | 耄 0.0792930783884 | 阖 0.0793816464928 | 婷 0.0794348073075 | 蹴 0.0799631814721 | 垢 0.0802013196225 | 嗅 0.0803029054832 | 禧 0.0809064917801 | 掖 0.0809409780434 | 丐 0.0811338882583 | 铄 0.0819491227414 | 疹 0.082163005558 | 孀 0.0823975236104 | 

慰 : 尾 0.0176989924854 | 霞 0.0188263662549 | 腾 0.0197548190263 | 伸 0.0201151615225 | 暗 0.0211572720436 | 洞 0.0216102648388 | 码 0.0217833724142 | 稻 0.0221832157403 | 铺 0.0226581918855 | 巧 0.0228669738877 | 稀 0.0228764478213 | 磨 0.0231719027363 | 恒 0.0236234556606 | 欠 0.023678268112 | 盗 0.0242078141823 | 耗 0.0242306773627 | 珠 0.0245706361423 | 皇 0.0258115468746 | 炎 0.0258565377112 | 抱 0.0259683497937 | 淡 0.0267910881035 | 旁 0.0269228406787 | 闲 0.0273443299208 | 捕 0.0276501551805 | 闯 0.0278479684311 | 欲 0.0278703804436 | 徒 0.0284840043176 | 蒂 0.029281848152 | 旋 0.0297775791337 | 癌 0.0298656026554 | 桌 0.0298674599406 | 贴 0.0302540752945 | 纵 0.030679455024 | 拟 0.030839124154 | 娜 0.0309283372754 | 钻 0.0312149063815 | 隔 0.0318139375902 | 柳 0.0331828884019 | 芬 0.033444004683 | 夕 0.0335872462438 | 宪 0.0336642952035 | 姐 0.0337917492863 | 池 0.033841095755 | 弄 0.0338663049295 | 朴 0.0339715936493 | 译 0.0341190586596 | 症 0.0341759336997 | 墓 0.0349866636928 | 横 0.035160270832 | 柏 0.0352066064103 | 

池 : 欠 0.0317449554646 | 尾 0.0358671338274 | 霞 0.0359793180521 | 耗 0.0382815515843 | 旋 0.0410030862592 | 徒 0.0414266467764 | 扰 0.0426603498414 | 伸 0.0437233831193 | 暗 0.04426339034 | 梯 0.0443953551547 | 稻 0.0452318474567 | 拟 0.0469649486252 | 踪 0.0475837436011 | 隔 0.0482463513741 | 瓜 0.048305381926 | 腾 0.0488252327124 | 洞 0.0495051299607 | 捕 0.0497210169914 | 铺 0.0503927259961 | 稀 0.0511365567627 | 池 0.0519075501457 | 磨 0.0527806016294 | 叹 0.0531949064533 | 桌 0.0533535253174 | 译 0.0535302194645 | 凤 0.0543824670426 | 刷 0.0550332496702 | 癌 0.0551322548809 | 珠 0.0573767518386 | 饰 0.0574375036456 | 码 0.0575074529434 | 炎 0.0580281806564 | 蒂 0.0588981631378 | 溪 0.0605567845845 | 娜 0.0606314367617 | 欲 0.0607153505428 | 朴 0.0612135009655 | 糖 0.0616050724155 | 皇 0.062149585443 | 盗 0.0633525469232 | 巧 0.0633947482369 | 漏 0.0645237104642 | 恒 0.0657741835269 | 柴 0.0674584116985 | 纵 0.0684349196153 | 圈 0.0686625849216 | 姐 0.070214538316 | 芬 0.0706032711739 | 霍 0.0719733833003 | 抱 0.0731718822875 | 

爸 : 坑 0.0209694618734 | 卜 0.0221684248023 | 衔 0.0232001206096 | 菌 0.0232685196769 | 磁 0.0252496505542 | 擦 0.0257600586305 | 茫 0.025793706252 | 垂 0.0259093235989 | 烦 0.0283958909693 | 募 0.0285060305134 | 勋 0.0288762510736 | 柔 0.0299081242114 | 雾 0.0302155258834 | 颂 0.0304646767119 | 冈 0.0308006269621 | 仙 0.0313395796198 | 孕 0.0314039256997 | 仗 0.0317156358288 | 殿 0.0320697623422 | 鹤 0.0322287155111 | 罐 0.0325010617673 | 忌 0.0326987649655 | 幻 0.0330840929047 | 蕴 0.0336272697013 | 嫁 0.0336437665461 | 酿 0.033674198962 | 抄 0.0338207762704 | 砍 0.0347265542996 | 凶 0.0350379378795 | 纱 0.0356160024868 | 缆 0.0363670458921 | 彦 0.0371092405031 | 冻 0.0374052637448 | 椅 0.0374741806268 | 薪 0.0383370562123 | 肝 0.0393297677913 | 恋 0.0397354101099 | 挫 0.0399236655399 | 沪 0.0400994335215 | 谱 0.0403827463039 | 洽 0.0411630008511 | 冶 0.041478471349 | 眉 0.0423089664882 | 谦 0.0423532240692 | 侦 0.0424219761004 | 滔 0.0425941462707 | 惨 0.0440135188341 | 绳 0.0449557863363 | 睹 0.045282658105 | 虹 0.0453562139445 | 

獭 : 鲲 0.0424604055974 | 矾 0.0425236880756 | 仟 0.0425749107833 | 氦 0.0426020876461 | 裆 0.0427499500774 | 胱 0.042769788046 | 糌 0.0427847192258 | 葳 0.0428042089841 | 谕 0.0428083050658 | 碉 0.0428183903697 | 蓦 0.0428930732968 | 崮 0.0429858279374 | 唏 0.0429984710424 | 罂 0.0430245588664 | 荥 0.0431328353388 | 醚 0.043154502869 | 旖 0.0432344295257 | 骡 0.0432780036794 | 朐 0.0433436286199 | 咣 0.0434349862055 | 嘤 0.0434542744487 | 辊 0.0435044389547 | 姹 0.0435675283756 | 亳 0.0436322703423 | 唉 0.0436360531625 | 洇 0.0436856656618 | 狈 0.0437201215058 | 蕤 0.0437777406841 | 俾 0.0437799272528 | 瘸 0.0438196117071 | 闾 0.0439863306377 | 昱 0.0440439292842 | 汴 0.0440555098157 | 酚 0.044073453807 | 藁 0.0440854483429 | 妓 0.044173294647 | 搐 0.0442362046 | 蠕 0.0442553490984 | 勰 0.0443558796741 | 靓 0.0443956067662 | 纰 0.0444179042964 | 骝 0.0444206605738 | 踹 0.0444344501211 | 晟 0.0444766325676 | 湄 0.0445127356042 | 俐 0.0445348827352 | 珈 0.0445385794197 | 疡 0.0445542533214 | 浣 0.0445930614885 | 颍 0.0446041854483 | 

谑 : 矾 0.048123067906 | 咣 0.0483032355114 | 胱 0.0484502083683 | 辊 0.0485512458365 | 旖 0.0485986660062 | 唏 0.0487362437373 | 仟 0.0488152852159 | 裆 0.0488338267701 | 氦 0.0489490991536 | 搐 0.0489720286368 | 俐 0.0489979359926 | 汴 0.0490411288588 | 鲲 0.0490905661142 | 谕 0.0491142367961 | 疡 0.0491372311244 | 骝 0.0491676657547 | 瘸 0.0493121062905 | 酚 0.0493223954878 | 荥 0.0494142098134 | 崮 0.0494293414335 | 茔 0.0494538910747 | 姹 0.0494970603675 | 罂 0.0495360553002 | 闾 0.0495522111081 | 桉 0.049572234236 | 妓 0.049581778405 | 糌 0.049651863622 | 婵 0.0496801595828 | 硼 0.0496908530791 | 蓦 0.0497267673537 | 妩 0.0497554761375 | 朐 0.0497800872983 | 碉 0.0497976637362 | 俾 0.0498302193393 | 梏 0.0500090550551 | 濯 0.0501101223231 | 嘤 0.0501256284353 | 葳 0.0501865604108 | 醚 0.0502189137826 | 昱 0.0503557163823 | 洇 0.0503645283609 | 狈 0.050378900719 | 亳 0.0504063398009 | 啬 0.050417593827 | 颍 0.0504459610964 | 骡 0.0505318358114 | 耒 0.0505619981749 | 诋 0.0505703104777 | 拗 0.0505772546557 | 蕤 0.0506499085432 | 

睛 : 溪 0.0166618338623 | 逢 0.0209710662223 | 泊 0.0244839509877 | 盼 0.0246047766492 | 拳 0.0289110559008 | 揽 0.0305039407731 | 慨 0.0305629990658 | 梯 0.0320488988059 | 孕 0.0330998439052 | 虹 0.0336674408742 | 踪 0.0345437214207 | 凤 0.0346314550919 | 侦 0.0355317287974 | 聪 0.0355642236931 | 拟 0.0360817509557 | 扰 0.0363786741123 | 愧 0.0367424259029 | 洽 0.0369408733243 | 缔 0.0369533236183 | 仙 0.0377464316958 | 旋 0.0377585334746 | 脉 0.0379129875279 | 冻 0.0384653579399 | 彦 0.0385355239843 | 仲 0.0393399871876 | 谱 0.042813917985 | 稽 0.0437204799933 | 菊 0.0445405088728 | 颂 0.0448567221477 | 帅 0.0461222167751 | 欠 0.0462378245754 | 烂 0.0473616833673 | 殿 0.0481158372607 | 御 0.0488621564738 | 隔 0.0489046755621 | 耗 0.0490919795662 | 绳 0.0495115444225 | 叹 0.0496666585907 | 卜 0.0497347367046 | 柴 0.0503538205993 | 劝 0.0509960000419 | 蕴 0.0522107987077 | 菌 0.0528645775629 | 淑 0.0528918235861 | 柔 0.0534897651342 | 募 0.0541150340239 | 昭 0.0546682382365 | 惨 0.0549553902236 | 烦 0.0549849979439 | 冈 0.0552989626985 | 

